timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,flag,label
2026-09-17T20:15:33,192.168.1.79,10.0.0.6,56411,80,TCP,38,42788,4.43,ACK,BENIGN
2026-09-17T20:15:57,192.168.1.59,10.0.0.5,32119,22,TCP,43,23822,0.23,PSH,BENIGN
2026-09-17T20:16:21,192.168.1.67,10.0.0.6,63008,22,TCP,32,16192,7.85,ACK,BENIGN
2026-09-17T20:16:45,203.0.113.199,10.0.0.6,44912,443,TCP,1463,822206,0.09,SYN,DDoS_FLOOD
2026-09-17T20:17:09,192.168.1.10,10.0.0.6,30563,8443,UDP,35,14665,3.31,PSH,BENIGN
2026-09-17T20:17:33,192.168.1.17,10.0.0.25,40505,3306,TCP,24,31824,0.9,PSH,BENIGN
2026-09-17T20:17:57,192.168.1.25,10.0.0.10,61515,21,TCP,36,34884,0.64,ACK,BENIGN
2026-09-17T20:18:21,192.168.1.77,10.0.0.6,35909,21,TCP,8,8408,4.31,FIN,BENIGN
2026-09-17T20:18:45,192.168.1.61,10.0.0.5,63646,8080,TCP,8,3232,1.66,PSH,BENIGN
2026-09-17T20:19:09,192.168.1.39,10.0.0.5,56120,21,TCP,9,6696,7.39,ACK,BENIGN
2026-09-17T20:19:33,192.168.1.74,10.0.0.5,61651,8080,TCP,45,44190,7.2,ACK,BENIGN
2026-09-17T20:19:57,192.168.1.24,10.0.0.10,48225,21,TCP,27,9963,6.59,FIN,BENIGN
2026-09-17T20:20:21,192.168.1.11,10.0.0.25,34679,80,TCP,7,2233,1.23,PSH,BENIGN
2026-09-17T20:20:45,192.168.1.63,10.0.0.5,31372,443,TCP,42,36876,3.51,ACK,BENIGN
2026-09-17T20:21:09,192.168.1.34,10.0.0.25,44368,443,TCP,18,2034,7.99,FIN,BENIGN
2026-09-17T20:21:33,192.168.1.37,10.0.0.6,31853,443,TCP,16,12064,0.41,FIN,BENIGN
2026-09-17T20:21:57,192.168.1.45,10.0.0.25,42523,53,TCP,25,15850,6.68,PSH,BENIGN
2026-09-17T20:22:21,192.168.1.62,10.0.0.6,61379,443,TCP,50,69700,0.85,PSH,BENIGN
2026-09-17T20:22:45,192.168.1.64,10.0.0.10,55050,21,TCP,8,5232,3.76,ACK,BENIGN
2026-09-17T20:23:09,192.168.1.79,10.0.0.25,44002,22,TCP,30,8850,8.07,FIN,BENIGN
2026-09-17T20:23:33,192.168.1.69,10.0.0.10,54852,3306,TCP,44,34012,8.1,FIN,BENIGN
2026-09-17T20:23:57,192.168.1.71,10.0.0.10,43349,21,UDP,31,22351,6.98,PSH,BENIGN
2026-09-17T20:24:21,185.220.101.99,10.0.0.6,46921,3306,TCP,106,28408,2.01,PSH,BRUTE_FORCE
2026-09-17T20:24:45,185.220.101.5,10.0.0.5,47809,851,TCP,2,138,0.025,SYN,PORT_SCAN
2026-09-17T20:25:09,192.168.1.52,10.0.0.6,48044,53,TCP,49,3577,0.79,FIN,BENIGN
2026-09-17T20:25:33,198.51.100.15,10.0.0.6,24273,80,TCP,2721,3403971,0.71,SYN,DDoS_FLOOD
2026-09-17T20:25:57,198.51.100.42,10.0.0.5,23199,443,TCP,2639,1572844,0.7,SYN,DDoS_FLOOD
2026-09-17T20:26:21,192.168.1.74,10.0.0.5,38765,21,TCP,16,8096,4.5,FIN,BENIGN
2026-09-17T20:26:45,198.51.100.15,10.0.0.10,49164,961,UDP,1,40,0.05,FIN,PORT_SCAN
2026-09-17T20:27:09,192.168.1.42,10.0.0.5,48528,80,TCP,21,18795,7.6,FIN,BENIGN
2026-09-17T20:27:33,198.51.100.15,10.0.0.6,52739,224,UDP,3,207,0.027,FIN,PORT_SCAN
2026-09-17T20:27:57,192.168.1.28,10.0.0.6,40537,8443,TCP,43,21844,3.2,PSH,BENIGN
2026-09-17T20:28:21,192.168.1.23,10.0.0.5,34885,3306,TCP,11,13706,3.41,ACK,BENIGN
2026-09-17T20:28:45,192.168.1.75,10.0.0.6,46115,443,TCP,38,53998,5.91,PSH,BENIGN
2026-09-17T20:29:09,192.168.1.41,10.0.0.10,49661,53,UDP,33,3894,5.74,ACK,BENIGN
2026-09-17T20:29:33,192.168.1.54,10.0.0.10,56587,8443,UDP,13,5759,5.99,PSH,BENIGN
2026-09-17T20:29:57,192.168.1.79,10.0.0.10,61515,80,TCP,18,19404,1.2,PSH,BENIGN
2026-09-17T20:30:21,192.168.1.14,198.51.100.254,58587,8443,TCP,99,56133,2.77,ACK,BOTNET
2026-09-17T20:30:45,192.168.1.62,10.0.0.5,41344,8443,UDP,50,44450,0.28,FIN,BENIGN
2026-09-17T20:31:09,192.168.1.77,10.0.0.25,55893,22,TCP,16,14160,5.28,ACK,BENIGN
2026-09-17T20:31:33,192.168.1.32,10.0.0.10,45167,53,UDP,39,23751,7.35,PSH,BENIGN
2026-09-17T20:31:57,198.51.100.42,10.0.0.5,50640,22,TCP,399,85785,2.08,PSH,BRUTE_FORCE
2026-09-17T20:32:21,192.168.1.72,10.0.0.10,37677,80,TCP,29,15370,5.58,ACK,BENIGN
2026-09-17T20:32:45,192.168.1.58,10.0.0.10,45739,21,UDP,38,33592,0.84,FIN,BENIGN
2026-09-17T20:33:09,192.168.1.65,10.0.0.5,54621,22,TCP,31,13144,5.84,PSH,BENIGN
2026-09-17T20:33:33,192.168.1.72,10.0.0.10,49518,3306,TCP,40,16520,8.03,ACK,BENIGN
2026-09-17T20:33:57,192.168.1.72,10.0.0.5,50710,3306,TCP,24,10008,0.36,ACK,BENIGN
2026-09-17T20:34:21,192.168.1.24,10.0.0.6,46210,3306,TCP,8,10592,7.97,ACK,BENIGN
2026-09-17T20:34:45,192.168.1.25,10.0.0.25,59780,3306,TCP,26,1664,6.32,FIN,BENIGN
2026-09-17T20:35:09,203.0.113.88,10.0.0.10,45960,698,UDP,2,150,0.063,FIN,PORT_SCAN
2026-09-17T20:35:33,203.0.113.88,10.0.0.6,13623,443,TCP,2944,1524992,0.39,SYN,DDoS_FLOOD
2026-09-17T20:35:57,192.168.1.36,10.0.0.5,47684,3306,TCP,22,8096,6.82,ACK,BENIGN
2026-09-17T20:36:21,192.168.1.39,10.0.0.25,50969,443,TCP,10,1060,7.81,ACK,BENIGN
2026-09-17T20:36:45,192.168.1.62,10.0.0.5,51689,443,TCP,35,38290,0.36,ACK,BENIGN
2026-09-17T20:37:09,198.51.100.42,10.0.0.6,50945,22,TCP,381,40767,2.39,PSH,BRUTE_FORCE
2026-09-17T20:37:33,192.168.1.50,10.0.0.6,35746,3306,TCP,21,10080,5.07,FIN,BENIGN
